provider,ntd_id,voms,upt,contact_city,service_county,url,gtfs,gtfs_rt_service_alerts,gtfs_rt_trip_updates,gtfs_rt_vehicle_locations
AC Transit,90014,520,4453146,Oakland,"Alameda, Contra Costa",http://www.actransit.org/,https://transitfeeds.com/p/ac-transit/1269/latest/download,,,
Access Services,90157,,,El Monte,Los Angeles,http://accessla.org/home/,,,,
Agoura Hills Dial-A-Ride,90246,,,Agoura Hills,Los Angeles,http://www.ci.agoura-hills.ca.us/our-city/visitors/alternative-transportation,,,,
Alhambra Community Transit,90247,,,Alhambra,Los Angeles,https://www.cityofalhambra.org/resources/public-transportation,,,,
Alpine County Local Transportation Commission,91116,,,Markleeville,Alpine,http://www.alpinecountyca.gov/index.aspx?NID=159,,,,
Altamont Corridor Express,90182,32,126661,Stockton,"San Joaquin, Santa Clara",http://www.acerail.com/,https://transitfeeds.com/p/altamont-corridor-express/823/latest/download,,,
Amador Regional Transit System,91000,,,Jackson,Amador,http://amadortransit.com/,https://transitfeeds.com/p/amador-transit/390/latest/download,,,
Amtrak,,,,Sacramento,"Sacramento, Orange, Contra Costa, Placer, Kern, San Bernardino, Alameda, Los Angeles, Ventura, Santa Barbara, Butte, Kings, Yolo, Siskiyou, Solano, Fresno, San Luis Obispo, San Joaquin, Madera, Merced, Stanislaus, San Diego, Riverside, Shasta, Monterey, Nevada, ",http://www.amtrak.com/home,,,,
Anaheim Resort Transportation,90211,70,670965,Anaheim,Orange,http://www.rideart.org/,https://transitfeeds.com/p/anaheim-resort-transportation/410/latest/download,,,
Angel Island-Tiburon Ferry Company,,,,Tiburon,Marin,https://angelislandferry.com/,,,,
Antelope Valley Transit Authority,90121,71,183018,Lancaster,Los Angeles,http://www.avta.com/,,,,
Arcadia Transit,90044,,,Arcadia,Los Angeles,https://www.arcadiaca.gov/transit,,,,
Arcata & Mad River Transit System,91018,,,Arcata,Humboldt,https://hta.org/agencies/arcata-and-mad-river/,,,,
Artesia Express Dial-A-Ride,90300,,,Artesia,Los Angeles,http://www.cityofartesia.us/index.aspx?nid=189,,,,
Arvin Transit,91027,,,Arvin,Kern,https://www.arvin.org/government/transportation/,,,,
Atascadero Dial-A-Ride,90194,,,Atascadero,San Luis Obispo,https://atascadero.org/index.php?option=com_content&view=article&id=633&Itemid=1536,,,,
Auburn Transit,91032,,,Auburn,Placer,https://www.auburn.ca.gov/192/Transit-Services,https://transitfeeds.com/p/auburn-transit/1271/latest/download,,,
Avalon Transit,90249,,,Avalon,Los Angeles,http://www.cityofavalon.com/content/3310/5078/default.aspx,https://transitfeeds.com/p/avalon-transit/951/latest/download,,,
Avocado Heights/Bassett/West Valinda Shuttle,90270,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/AvoBasWVShuttle.aspx,,,,
Azusa Transit,90250,,,Azusa,Los Angeles,https://www.ci.azusa.ca.us/329/Azusa-Transit,,,,
B-Line,,,,Chico,Butte,http://www.blinetransit.com/,,,,
Bakersfield Airport Valet Express,,,,Bakersfield,Kern,http://www.airportvaletexpress.com/,https://transitfeeds.com/p/airport-valet-express/773/latest/download,,,
Balboa Island Ferry,,,,Newport Beach,Orange,http://www.balboaislandferry.com/,,,,
Baldwin Park Transit,90251,,,Baldwin Park,Los Angeles,https://www.baldwinpark.com/public-transit,,,,
Banning Pass Transit,,,,Banning,Riverside,http://banning.ca.us/351/Bus-Schedules,,,,
Barstow Area Transit,,,,Barstow,San Bernardino,http://www.barstowca.org/city-hall/city-departments/transportation/fares,,,,
Bay Area Rapid Transit,90003,607,10150497,Oakland,"Alameda, Contra Costa, Santa Clara, San Mateo, San Francisco",http://www.bart.gov/,https://transitfeeds.com/p/bart/58/latest/download,http://api.bart.gov/gtfsrt/alerts.aspx,http://api.bart.gov/gtfsrt/tripupdate.aspx,
Beach Cities Transit,90214,10,29701,Redondo Beach,Los Angeles,https://www.redondo.org/depts/recreation/transit/beach_cities_transit/default.asp,,,,
Bear Transit,,,,Berkeley,Alameda,https://pt.berkeley.edu/transportation-options/campus-shuttles,,,,
Beaumont Pass Transit,,,,Beaumont,Riverside,https://beaumontca.gov/index.aspx?NID=160,https://transitfeeds.com/p/pass-transit/391/latest/download,,,
Bell Gardens,90253,,,Bell Gardens,Los Angeles,https://www.bellgardens.org/government/city-departments/public-works/transportation,,,,
Bellflower Bus,90254,,,Bellflower,Los Angeles,https://www.bellflower.org/resources/transportation/bus.asp,,,,
Berkeley Lab Bus System,,,,Berkeley,Alameda,https://commute.lbl.gov/service/shuttle-buses/,,,,
Beverly Hills,90255,,,Beverly Hills,Los Angeles,http://www.beverlyhills.org/living/transportation/,,,,
Big Blue Bus,90008,160,1046649,Santa Monica,Los Angeles,http://www.bigbluebus.com/,https://transitfeeds.com/p/city-of-santa-monica/260/latest/download,http://gtfs.bigbluebus.com/alerts.bin,http://gtfs.bigbluebus.com/tripupdates.bin,http://gtfs.bigbluebus.com/vehiclepositions.bin
Bishop Paiute Tribe,99268,,,Bishop,Inyo,http://www.bishoppaiutetribe.com/,,,,
Blossom Express,,,,Ripon,San Joaquin,http://www.cityofripon.org/cms/one.aspx?portalId=1080111&pageId=2984496,,,,
Blue Lake Rancheria,99292,,,Blue Lake,Humboldt,https://bluelakerancheria-nsn.gov/initiatives/transportation/,https://transitfeeds.com/p/blue-lake-rancheria-transit-system/1142/latest/download,,,
Blue and Gold Fleet,,,,San Francisco,"Marin, San Francisco",https://www.blueandgoldfleet.com/,https://transitfeeds.com/p/blue-gold-fleet/824/latest/download,,,
Brea Shuttle Express,,,,Brea,Orange,http://www.cityofbrea.net/1105/Transportation,,,,
Burbank Bus,90256,,,Burbank,Los Angeles,http://www.burbankbus.org/,,,,
Burney Express,99438,,,Redding,Shasta,https://www.cityofredding.org/departments/redding-area-bus-authority/services/burney-express,,,,
Butte County Association of Governments,90208,25,55254,Chico,Butte,http://www.bcag.org/,,,,
CSUEB Shuttle,,,,Hayward,"Contra Costa, Alameda",http://www.csueastbay.edu/parking/alt-trans/university-shuttle1/shuttle-hayward-hills.html,,,,
Calabasas Transit System,90257,,,Calabasas,Los Angeles,https://www.cityofcalabasas.com/departments/traffic/shuttle.html,,,,
Calaveras Transit,91063,,,San Andreas,Calaveras,http://calaverastransit.com/,https://transitfeeds.com/p/calaveras-transit/399/latest/download,,,
California City Dial-A-Ride,91111,,,California City,Kern,https://www.californiacity-ca.gov/CC/index.php/transportation,,,,
California Vanpool Authority,90230,,,Hanford,Kings,http://www.CalVans.org/,,,,
Caltrain,90134,141,1577968,San Carlos,San Mateo,http://www.caltrain.com/,https://transitfeeds.com/p/caltrain/122/latest/download,,,
Camarillo Area Transit,90163,,,Camarillo,Ventura,https://www.cityofcamarillo.org/residents/public_transportation/index.php,,,,
Capitol Corridor,,,,intercity,"Alameda, Placer, Sacramento, Yolo, Solano, Contra Costa, San Francisco, Santa Clara",https://www.capitolcorridor.org/,https://transitfeeds.com/p/capitol-corridor/825/latest/download,,,
Carson Circuit,90258,,,Carson,Los Angeles,http://ci.carson.ca.us/CommunityServices/Transportation.aspx,,,,
Catalina Express,,,,San Pedro,"Los Angeles, Orange",http://catalinaexpress.com/,,,,
Catalina Flyer,,,,Newport Beach,Los Angeles,http://www.catalinainfo.com/,,,,
Catalina Safari Shuttle Bus,,,,Catalina,Los Angeles,https://www.visitcatalinaisland.com/things-to-do/two-harbors/outdoor-activities/safari-bus/,,,,
Central Coast Shuttle LAX,,,,Los Angeles,Los Angeles,https://www.centralcoastshuttle.com/,,,,
Ceres Area Transit,,,,Ceres,Stanislaus,http://www.ci.ceres.ca.us/296/Transportation,,,,
Cerritos on Wheels,90259,,,Cerritos,Los Angeles,http://www.cerritos.us/RESIDENTS/transportation.php,,,,
Chemehuevi Indian Tribe,99316,,,Havasu Lake,San Bernardino,www.chemehuevi.net,,,,
Chowchilla Area Transit,91071,,,Chowchilla,Madera,https://cityofchowchilla.org/223/Chowchilla-Area-Transit-CATX,,,,
Chumash Casino Shuttle Bus,,,,Chumash,Santa Barbara,https://chumashcasino.com/shuttle-schedule,,,,
City of Lompoc Transit,90149,,,Lompoc,Santa Barbara,http://www.cityoflompoc.com/transit/,,,,
Claremont Dial-a-Ride,90296,,,Claremont,Los Angeles,https://www.ci.claremont.ca.us/living/transit-services-75,,,,
Cloverdale Transit,,,,Cloverdale,Sonoma,http://www.cloverdale.net/index.aspx?nid=267,,,,
Clovis Transit System,,,,Clovis,Fresno,https://cityofclovis.com/general-services/transit/,https://transitfeeds.com/p/clovis-transit/1249/latest/download,,,
Coalinga Transit,,,,Coalinga,Fresno,http://www.coalinga.com/281/Coalinga-Transit,,,,
Colfax,,,,Colfax,Placer,http://colfax-ca.gov/,,,,
Colusa County Transit Agency,91112,,,Colusa,Colusa,http://www.countyofcolusa.org/transit,,,,
Commerce Municipal Bus Lines,90043,10,30117,Commerce,Los Angeles,http://ci.commerce.ca.us/index.aspx?NID=90,,,,
Commute.org Shuttles,,,,South San Francisco,San Mateo,http://www.commute.org,https://transitfeeds.com/p/commute-org-san-mateo-county-shuttles/1055/latest/download,,,
Commuter Express,90147,272,1299265,Los Angeles,Los Angeles,http://www.ladottransit.com/,https://transitfeeds.com/p/ladot-transit-services/303/latest/download,,,
Compton Renaissance Transit Service,90260,,,Compton,Los Angeles,http://www.comptoncity.org/visitors/cpttrans.asp,,,,
Corcoran Area Transit,91002,,,Corcoran,Kings,http://www.cityofcorcoran.com/cityhall/pw/transit/default.asp,,,,
Corona Cruiser,90052,,,Corona,Riverside,http://www.CoronaTransit.com/,https://transitfeeds.com/p/corona-cruiser,,,
Coronado Ferry,,,,Coronado,San Diego,https://www.flagshipsd.com/cruises/coronado-ferry,,,,
Costa Mesa Senior Center,,,,Costa Mesa,Orange,https://www.costamesaca.gov/residents/costa-mesa-senior-center,,,,
County Connection,90078,85,293455,Concord,Contra Costa,http://www.cccta.org/,https://transitfeeds.com/p/county-connection/222/latest/download,,,
County Express,91009,,,Hollister,San Benito,http://www.sanbenitocountyexpress.org/,https://transitfeeds.com/p/san-benito-county-express/491/latest/download,,,
County of Ventura,90298,,,Ventura,Camarillo,https://www.ventura.org/visitors/transportation/,,,,
Covina Transit,90261,,,Covina,Los Angeles,https://covinaca.gov/publicworks/page/transportation,,,,
Cudahy Area Rapid Transit,90262,,,Cudahy,Los Angeles,www.cityofcudahy.com,,,,
